test_id,vehicle_id,test_date,test_class_id,test_type,test_result,test_mileage,postcode_area,make,model,colour,fuel_type,cylinder_capacity,first_use_date
666422869,1253657552,2020-01-01,4,NT,P,63975,TR,CITROEN,DISPATCH,WHITE,DI,1560,2011-03-14
623774383,51021182,2020-01-01,4,NT,P,107361,NN,SEAT,IBIZA,YELLOW,PE,1390,2008-12-18
581125897,612989654,2020-01-01,4,NT,P,73160,NN,MERCEDES,A 150,SILVER,PE,1498,2007-09-28
538477411,458058688,2020-01-01,4,NT,P,,TR,CITROEN,DISPATCH,WHITE,DI,1868,2004-11-19
325234981,1422080365,2020-01-01,1,NT,F,27120,SS,KTM,125,ORANGE,PE,125,2013-12-07
367883467,1254023710,2020-01-01,4,NT,P,81260,RM,FORD,FOCUS,BLUE,PE,1596,2005-06-13
453180439,1266564042,2020-01-01,4,NT,P,93426,CA,SKODA,FABIA,GREY,DI,1598,2012-06-21
282586495,341436608,2020-01-01,4,NT,P,127237,B,VAUXHALL,INSIGNIA,WHITE,DI,1956,2010-09-10
154641037,504524381,2020-01-01,4,NT,P,109759,B,SKODA,RAPID,RED,DI,1598,2014-12-19
69344065,558958969,2020-01-01,4,NT,P,70124,LU,JAGUAR,XF,WHITE,DI,2179,2014-08-20
111992551,942168825,2020-01-01,4,NT,P,73994,EN,VOLVO,V40,BLACK,DI,1560,2013-12-14
239938009,1040069165,2020-01-01,4,NT,PRS,32558,BB,TOYOTA,YARIS,BLUE,PE,1329,2017-01-31
410531953,355973672,2020-01-01,4,NT,PRS,219337,CT,NISSAN,TERRANO,BLUE,PE,2389,1998-01-01
197289523,611016536,2020-01-01,4,NT,P,89084,BL,SEAT,ALTEA,GREY,DI,1896,2009-01-16
1984047093,1354512154,2020-01-01,4,NT,P,151684,B,TOYOTA,YARIS,BLACK,PE,1329,2010-06-28
26695579,947770204,2020-01-01,4,NT,P,118401,PR,VOLKSWAGEN,GOLF,SILVER,DI,1968,2010-12-07
1728156177,1193826211,2020-01-01,4,NT,P,38500,LU,AUDI,Q7,WHITE,DI,2967,2016-11-25
1642859205,147522026,2020-01-01,4,NT,P,119613,FK,HONDA,ACCORD,SILVER,PE,1998,2005-09-29
1856101635,1354009156,2020-01-01,4,NT,PRS,98981,W,HONDA,CIVIC,SILVER,PE,1799,2007-03-21
1898750121,1446024513,2020-01-01,4,NT,P,25985,W,TOYOTA,NOAH,SILVER,HY,1799,2015-03-27
1770804663,1117504870,2020-01-01,4,NT,P,59701,DY,CITROEN,XSARA,SILVER,PE,1587,2007-01-12
1813453149,5843142,2020-01-01,4,NT,P,257685,BD,VOLKSWAGEN,PASSAT,SILVER,DI,1896,2006-11-08
704592513,1375184014,2020-01-01,4,RT,P,116189,BD,HYUNDAI,TERRACAN,BLUE,DI,2902,2006-03-01
1344319803,1347583257,2020-01-01,4,NT,P,26753,B,VAUXHALL,ASTRA,WHITE,PE,1399,2016-12-31
1259022831,1125321883,2020-01-01,4,NT,P,41560,IG,NISSAN,QASHQAI,BLACK,PE,1198,2015-01-01
1088428887,878233110,2020-01-01,4,NT,F,57253,BD,VOLKSWAGEN,SCIROCCO,BLACK,DI,1968,2011-10-27
1472265261,1367717284,2020-01-01,4,NT,P,63965,SN,BMW,3 SERIES,GREY,PE,1995,2011-04-23
1514913747,1197808794,2020-01-01,4,NT,P,99493,BB,VAUXHALL,ASTRA,BLACK,PE,1364,2007-05-04
1131077373,90049890,2020-01-01,4,NT,P,42557,B,CITROEN,DS3,BLUE,DI,1560,2011-09-19
1216374345,1030945084,2020-01-01,4,NT,PRS,94601,B,BMW,1 SERIES,WHITE,PE,1597,2008-01-08
1386968289,894779082,2020-01-01,4,NT,PRS,117741,TW,TOYOTA,PREVIA,SILVER,PE,2362,2004-07-21
1003131915,559029499,2020-01-01,4,NT,P,62958,WF,AUDI,A4,BLUE,DI,1968,2013-03-06
832537971,704403844,2020-01-01,4,NT,P,73910,FK,VOLVO,C30,RED,PE,1596,2007-12-14
1301671317,543827036,2020-01-01,4,NT,P,68652,S,SKODA,FABIA,SILVER,PE,1199,2011-10-11
960483429,885042209,2020-01-01,4,NT,P,122397,IG,HYUNDAI,I30,SILVER,DI,1582,2013-05-01
1685507691,861936893,2020-01-01,4,NT,P,54424,LU,VAUXHALL,ZAFIRA,SILVER,DI,1956,2014-12-31
661944027,375266421,2020-01-01,4,NT,P,68574,DY,VOLKSWAGEN,PASSAT,GREY,DI,1598,2013-07-26
1429616775,215916856,2020-01-01,4,NT,P,127581,WF,TOYOTA,STARLET,WHITE,PE,1332,1998-08-01
1173725859,348360344,2020-01-01,4,NT,F,140113,L,VOLKSWAGEN,GOLF,BLACK,DI,1896,2007-04-27
789889485,1448110560,2020-01-01,4,NT,P,93091,N,BMW,3 SERIES,SILVER,PE,1990,2007-10-22
576647055,753570454,2020-01-01,4,NT,F,84540,M,HONDA,INSIGHT,BLACK,PE,1339,2011-05-17
1045780401,214043622,2020-01-01,4,NT,F,133160,LL,VAUXHALL,ASTRA,SILVER,PE,1364,2005-09-30
278107653,1477317025,2020-01-01,4,NT,P,56054,BB,VAUXHALL,ASTRA,SILVER,DI,1598,2014-12-31
448701597,360347620,2020-01-01,4,NT,P,100053,W,VAUXHALL,ASTRA,BEIGE,PE,1796,2007-06-25
1339840961,512004409,2020-01-01,4,RT,P,27629,DH,FIAT,500X,GREY,DI,1598,2017-01-30
619295541,303511196,2020-01-01,4,NT,F,105005,CW,MINI,MINI,WHITE,DI,1560,2011-09-26
917834943,1340303,2020-01-01,4,NT,P,21758,NW,VAUXHALL,ASTRA,BLACK,PE,1399,2016-12-31
747240999,1393496516,2020-01-01,4,NT,P,160701,LU,VOLKSWAGEN,GOLF,BLACK,DI,2000,2004-09-01
533998569,155097349,2020-01-01,4,NT,P,29691,NP,SKODA,FABIA,BLUE,PE,999,2016-09-27
107513709,425048654,2020-01-01,4,NT,F,90469,TW,VOLKSWAGEN,GOLF,BLUE,DI,1968,2008-05-14
320756139,408267189,2020-01-01,4,NT,P,45537,BB,AUDI,A1,WHITE,DI,1598,2014-12-10
22216737,231790241,2020-01-01,4,NT,P,55547,B,FORD,FIESTA,SILVER,PE,1596,2013-07-20
1723677335,1237783885,2020-01-01,4,NT,PRS,86754,IG,FORD,FOCUS,GREY,PE,998,2013-03-08
1894271279,357378076,2020-01-01,4,NT,P,268369,E,MERCEDES-BENZ,VITO,WHITE,DI,2148,2010-12-24
1851622793,1304528422,2020-01-01,4,NT,P,160857,BD,MERCEDES,S 320,SILVER,DI,2987,2006-11-22
1941398607,98962938,2020-01-01,4,NT,P,149791,LU,LAND ROVER,RANGE ROVER,RED,DI,2497,1998-12-31
150162195,929556160,2020-01-01,4,NT,PRS,32372,TW,VAUXHALL,ASTRA,GREY,PE,1796,2007-03-05
1638380363,668924274,2020-01-01,4,NT,P,118336,LU,BMW,3 SERIES,BLACK,PE,2793,2000-03-15
491350083,1323079820,2020-01-01,4,NT,PRS,126644,B,HONDA,CIVIC,SILVER,PE,1590,2003-03-26
363404625,105798568,2020-01-01,4,NT,P,166021,BB,TOYOTA,VERSO,BLUE,DI,1998,2011-11-28
406053111,253684102,2020-01-01,4,NT,P,60038,B,SUZUKI,SWIFT,SILVER,PE,1490,2006-04-10
1595731877,250109352,2020-01-01,4,NT,P,98974,TW,TOYOTA,YARIS,BLACK,PE,998,2001-09-15
495828925,1251551344,2020-01-01,4,NT,F,43773,PE,FORD,TRANSIT,WHITE,DI,2198,2012-09-04
1254543989,1187736326,2020-01-01,4,NT,P,128402,UB,PEUGEOT,607,GREY,DI,2179,2001-04-24
1553083391,1240983500,2020-01-01,4,NT,P,154611,RG,VAUXHALL,VIVARO,WHITE,DI,1870,2004-10-08
956004587,954428962,2020-01-01,4,NT,P,109658,DL,MERCEDES,C 200,WHITE,PE,1796,2007-09-08
1766325821,1319967971,2020-01-01,4,NT,P,54791,OL,TOYOTA,AURIS,WHITE,DI,1598,2016-01-18
1936919765,764201574,2020-01-01,4,NT,P,189323,ST,VAUXHALL,ASTRA,SILVER,DI,1248,2006-12-19
1467786419,1036505208,2020-01-01,4,NT,P,139021,B,VOLKSWAGEN,GOLF,GREY,DI,1968,2010-09-01
1681028849,102323608,2020-01-01,4,NT,P,146367,UB,PEUGEOT,5008,BLACK,DI,1560,2012-11-27
1297192475,517389478,2020-01-01,4,NT,P,108888,BD,FORD,FOCUS,SILVER,PE,1596,2003-12-24
1425137933,1303229592,2020-01-01,4,NT,P,122723,B,NISSAN,NOTE,RED,PE,1386,2008-03-12
1979568251,754499260,2020-01-01,4,NT,P,100204,TW,NISSAN,QASHQAI,BLACK,DI,1461,2010-06-30
1169247017,685838974,2020-01-01,4,NT,P,71629,B,VOLKSWAGEN,POLO,SILVER,PE,1400,2007-11-09
1083950045,76104358,2020-01-01,4,NT,P,100936,TW,HONDA,ACCORD,SILVER,PE,1998,2005-09-14
1382489447,565562138,2020-01-01,4,NT,P,59721,N,MERCEDES,ML 500,WHITE,PE,5439,2010-11-19
1510434905,684794546,2020-01-01,4,NT,PRS,66775,UB,MERCEDES,C 180K,SILVER,PE,1796,2006-12-12
998653073,722841574,2020-01-01,4,NT,PRS,159640,B,PEUGEOT,307,SILVER,DI,1997,2003-05-27
785410643,826886642,2020-01-01,4,NT,P,55827,BD,TOYOTA,YARIS,BLUE,PE,998,2005-01-19
1126598531,1157870210,2020-01-01,4,NT,P,89867,BB,SUBARU,IMPREZA,SILVER,PE,2457,2007-03-01
700113671,308854395,2020-01-01,4,NT,P,15424,IG,CITROEN,C4 CACTUS,WHITE,PE,1200,2017-11-30
870707615,1193838546,2020-01-01,4,NT,F,96390,NE,VAUXHALL,INSIGNIA,BLACK,DI,1956,2012-03-08
444222755,1282346106,2020-01-01,4,NT,P,165524,E,AUDI,A6,BLUE,DI,2967,2011-12-12
913356101,821216542,2020-01-01,4,NT,P,98743,BB,VAUXHALL,ZAFIRA,SILVER,PE,1598,2003-02-17
742762157,266624804,2020-01-01,4,NT,P,121904,LU,HYUNDAI,I10,RED,PE,1248,2008-12-31
572168213,1485054748,2020-01-01,4,NT,P,61370,DY,SKODA,FABIA,RED,DI,1422,2010-01-13
316277297,475223866,2020-01-01,4,NT,P,19995,B,VAUXHALL,ASTRA,SILVER,PE,1598,2010-06-30
657465185,799201774,2020-01-01,4,NT,P,115258,B,TOYOTA,COROLLA,RED,PE,1794,2006-01-31
64865223,650708862,2020-01-01,4,NT,PRS,97322,WF,CHRYSLER-JEEP,300,SILVER,DI,2987,2010-12-22
145683353,914981388,2020-01-01,4,NT,PRS,160379,B,RENAULT,SCENIC,SILVER,DI,1461,2011-10-20
1041301559,1155798460,2020-01-01,4,NT,F,150716,E,TOYOTA,PRIUS,BLACK,EL,1797,2011-07-27
1932440923,462611441,2020-01-01,1,NT,P,4796,WF,HONDA,CD 50 BENLEY,SILVER,PE,49,1999-06-29
103034867,497594122,2020-01-01,4,NT,F,136918,B,VOLKSWAGEN,GOLF,BLUE,DI,1896,2007-11-06
273628811,337048269,2020-01-01,4,NT,P,141334,BL,BMW,530,WHITE,DI,2993,2013-05-01
188331839,1073029886,2020-01-01,7,NT,P,151430,SK,FORD,TRANSIT,WHITE,DI,2402,2005-06-14
1889792437,444346868,2020-01-01,4,NT,P,91895,IG,CITROEN,GRAND C4 PICASSO,WHITE,DI,1598,2012-06-11
17737895,592698916,2020-01-01,4,NT,P,19963,B,PEUGEOT,207,GREY,PE,1587,2012-09-04
529519727,720352580,2020-01-01,4,NT,P,75697,WF,LAND ROVER,DEFENDER 90,BLUE,DI,2401,2010-01-11
401574269,1431030100,2020-01-01,4,NT,P,246251,B,NISSAN,MICRA,SILVER,PE,1240,2005-07-14
1548604549,346067796,2020-01-01,4,NT,ABR,,TW,HONDA,JAZZ,BLUE,PE,1339,2004-10-20
1505956063,600981291,2020-01-01,4,NT,P,155913,TW,TOYOTA,PRIUS,SILVER,HY,1798,2012-11-23
1335362119,712365095,2020-01-01,4,NT,P,8835,UB,MERCEDES-BENZ,S,BLACK,DI,2925,2017-12-21
230980325,272384878,2020-01-01,4,NT,F,67509,TW,VOLKSWAGEN,POLO,SILVER,PE,1390,2003-01-10
1591253035,315791342,2020-01-01,4,NT,P,91056,DY,PEUGEOT,207,BLUE,PE,1598,2009-11-18
1719198493,291073072,2020-01-01,4,NT,P,76431,M,HYUNDAI,IX35,SILVER,DI,1995,2011-01-06
1804495465,256470933,2020-01-01,4,NT,P,138001,BB,VAUXHALL,INSIGNIA,BLUE,DI,1956,2013-01-17
1761846979,844329655,2020-01-01,4,NT,PRS,10933,OL,SEAT,IBIZA,WHITE,PE,1390,2012-12-31
1211895503,819678245,2020-01-01,2,NT,P,18746,ST,SUZUKI,GSXR,BLUE,PE,999,2015-03-02
1633901521,1131172785,2020-01-01,4,NT,P,61033,W,TOYOTA,AURIS,WHITE,PE,1598,2013-03-28
1847143951,1103014570,2020-01-01,4,NT,P,216661,B,MERCEDES,230 E,BLUE,PE,2299,1985-06-01
1627384159,437464380,2020-01-01,4,NT,F,125004,LE,PEUGEOT,206,SILVER,PE,1360,2002-09-30
1676550007,1316087190,2020-01-01,4,NT,PRS,118589,UB,VAUXHALL,INSIGNIA,BLUE,DI,1956,2011-02-07
695634829,1131666524,2020-01-01,4,RT,P,69403,B,RENAULT,SCENIC,GREY,PE,1598,2008-08-06
1420659091,17432444,2020-01-01,4,NT,F,106955,ST,JAGUAR,X-TYPE,SILVER,DI,2198,2006-11-29
358925783,77166420,2020-01-01,4,NT,F,98386,NP,CHEVROLET,SPARK,BLUE,PE,995,2012-01-31
1207416661,1000157445,2020-01-01,4,NT,P,141374,CR,TOYOTA,PRIUS,WHITE,HY,1798,2014-02-28
1250065147,1038377124,2020-01-01,4,NT,P,57152,SA,TOYOTA,IQ,WHITE,PE,1329,2011-03-25
1079471203,616368487,2020-01-01,1,NT,P,2242,WF,HONDA,JAZZ 50,GREEN,PE,49,1994-06-03
1122119689,204530146,2020-01-01,4,NT,P,141531,SK,VOLKSWAGEN,GOLF,RED,DI,2000,2004-12-31
1463307577,1137562062,2020-01-01,4,NT,P,81898,TR,VAUXHALL,ASTRA,BLUE,DI,1956,2010-07-13
1036822717,1162673883,2020-01-01,4,NT,P,47685,B,PEUGEOT,PARTNER,SILVER,DI,1560,2013-11-29
397095427,1071129354,2020-01-01,4,RT,P,119834,CR,TOYOTA,PICNIC,SILVER,PE,1998,1999-06-30
994174231,1248349904,2020-01-01,4,NT,F,95671,WF,VAUXHALL,ASTRA,BLACK,PE,1598,2010-09-27
780931801,46275878,2020-01-01,4,NT,P,150245,B,TOYOTA,CELICA,BLUE,PE,1794,2000-01-05
1164768175,1115666492,2020-01-01,4,NT,P,25342,B,TOYOTA,YARIS,RED,PE,1298,2008-03-01
610337857,1178313960,2020-01-01,4,NT,P,88336,LE,FORD,FIESTA,GREY,PE,1596,2009-11-06
951525745,1420618866,2020-01-01,4,NT,F,79386,WF,VAUXHALL,ASTRA,SILVER,PE,1598,2010-04-30
738283315,909764779,2020-01-01,4,NT,PRS,82830,IG,TOYOTA,PRIUS,SILVER,HY,1800,2014-05-26
13259053,118247058,2020-01-01,4,RT,P,155882,DN,VOLKSWAGEN,GOLF,GREY,DI,1968,2008-04-18
908877259,640280848,2020-01-01,4,NT,P,20710,EX,MERCEDES,SLK 200K,BLACK,PE,1796,2006-04-12
482392399,496756738,2020-01-01,4,NT,P,62591,B,AUDI,A1,BLACK,DI,1598,2011-06-29
525040885,774960630,2020-01-01,4,NT,F,,BD,VAUXHALL,ASTRA,RED,PE,1389,2000-01-12
652986343,1169711554,2020-01-01,4,NT,P,70637,B,VAUXHALL,CORSA,GREY,DI,1248,2012-03-26
1757368137,275090986,2020-01-01,4,RT,P,153145,FY,AUDI,A3,SILVER,DI,1896,2006-10-18
269149969,612294720,2020-01-01,4,NT,P,105110,NE,FORD,TRANSIT,WHITE,DI,1998,2006-01-31
1330883277,641109270,2020-01-01,4,RT,P,111010,ST,SUZUKI,IGNIS,BLUE,PE,1500,2005-03-31
98556025,308407398,2020-01-01,4,NT,P,100234,SW,VOLVO,V40,SILVER,PE,1948,1997-12-31
1245586305,819654653,2020-01-01,4,RT,P,75431,CR,TOYOTA,PRIUS,WHITE,HY,1797,2014-07-26
141204511,773063044,2020-01-01,4,NT,P,113460,NW,NISSAN,MICRA,SILVER,PE,998,2000-01-31
311798455,1479296506,2020-01-01,4,NT,F,145700,N,AUDI,A4,WHITE,DI,1968,2011-11-07
1927962081,507709627,2020-01-01,4,NT,P,30306,UB,FORD,GALAXY,GREY,DI,1997,2016-07-29
866228773,172596370,2020-01-01,4,NT,P,100754,B,VOLKSWAGEN,GOLF,RED,PE,1390,2009-07-10
904398417,272384878,2020-01-01,4,RT,P,67509,TW,VOLKSWAGEN,POLO,SILVER,PE,1390,2003-01-10
1586774193,1302961798,2020-01-01,4,NT,P,107208,B,NISSAN,NOTE,BLACK,PE,1386,2007-10-31
1842665109,473483780,2020-01-01,4,NT,P,136056,BB,HONDA,ACCORD,SILVER,DI,2209,2005-03-01
1714719651,295109623,2020-01-01,4,NT,P,38118,TW,CITROEN,C3,BLACK,PE,1598,2012-09-28
354446941,1381617630,2020-01-01,4,NT,PRS,68491,B,VAUXHALL,CORSA,SILVER,PE,1229,2009-10-07
226501483,1437171954,2020-01-01,4,NT,P,74812,BB,VOLKSWAGEN,POLO,BLACK,PE,1198,2005-12-14
183852997,845163354,2020-01-01,4,NT,P,129905,WF,VAUXHALL,MOVANO,WHITE,DI,2299,2012-01-13
1672071165,544954040,2020-01-01,4,NT,PRS,144409,TW,TOYOTA,PRIUS,WHITE,PE,1798,2011-01-06
1629422679,305325786,2020-01-01,4,NT,P,133242,B,VAUXHALL,CORSA,BLACK,DI,1248,2007-09-24
1501477221,608344654,2020-01-01,4,NT,F,132348,CF,HONDA,JAZZ,BLACK,PE,1339,2008-03-28
439743913,387176811,2020-01-01,4,NT,P,120552,IG,JAGUAR,XF,BLACK,DI,2179,2012-12-03
1416180249,58899271,2020-01-01,4,NT,P,51950,B,SKODA,RAPID,WHITE,DI,1598,2013-03-29
1885313595,524846725,2020-01-01,4,NT,P,65537,IG,BMW,3 SERIES,BLACK,DI,2993,2015-12-31
1288234791,631554459,2020-01-01,4,NT,P,51840,HP,BMW,116,BLACK,DI,1598,2014-07-09
1202937819,987544114,2020-01-01,4,NT,P,119021,B,BMW,3 SERIES,BLACK,PE,1995,2003-12-19
1544125707,1430138315,2020-01-01,4,NT,P,51696,M,KIA,PICANTO,RED,PE,1248,2012-12-18
1160289333,770125533,2020-01-01,4,NT,P,37105,NW,TOYOTA,PRIUS,SILVER,HY,1800,2015-05-27
1117640847,983878630,2020-01-01,4,NT,P,158354,CR,TOYOTA,PRIUS,BLUE,EL,1798,2010-09-10
307319613,753570454,2020-01-01,4,RT,P,84540,M,HONDA,INSIGHT,BLACK,PE,1339,2011-05-17
349968099,132837206,2020-01-01,4,RT,P,90496,B,NISSAN,MICRA,GREEN,PE,998,2001-01-31
1032343875,346113532,2020-01-01,4,NT,P,151021,GL,LAND ROVER,RANGE ROVER,SILVER,DI,2926,2002-05-21
